,sc1,sc2,sb1,sb2,wo1,wo2,ra1,ra2,whc1,gg1,gg2,gg3,w1,w2,lta1
sc1,1.0,0.5651431146995354,-0.15557101340193377,-0.04799700069018801,0.26767768849357126,0.38090838487671635,0.17859481960297938,0.30548890852705657,0.30091413025758645,0.24441235917717852,0.22278750517768756,0.2487832746644328,-0.06482430269083714,-0.03209229419020533,0.05597358438271043
sc2,0.5651431146995354,1.0,-0.13151381371122614,0.04932951963777764,0.2925811190437519,0.43563151634450414,0.17333955990141078,0.306571553516912,0.3690423255951415,0.2687319373538361,0.22206297623488605,0.31719904035082874,-0.15490843624193235,-0.028031774942893956,-0.02807221769150961
sb1,-0.15557101340193377,-0.13151381371122614,1.0,0.5090532377709428,-0.05737396778753356,-0.1672630634560859,-0.166988952116027,-0.20112017247815386,-0.05673974398263595,-0.3577407096533692,-0.24013438791969835,-0.17098771797268633,0.24755038261136417,0.2843970254441398,0.31285438731450443
sb2,-0.04799700069018801,0.04932951963777764,0.5090532377709428,1.0,-0.01241593038175351,-0.045438052836829376,-0.1642944479988847,-0.03438288393210461,0.18172309408589776,-0.16315717281587316,-0.08230011039130543,-0.04975008811793518,0.1984766174961478,0.2555959025496189,0.2649261247120992
wo1,0.26767768849357126,0.2925811190437519,-0.05737396778753356,-0.01241593038175351,1.0,0.5594937339432421,0.25539120826489214,0.2468184210856083,0.35075284495335796,0.23578226671871713,0.27724102412793233,0.31101540249726206,-0.27152111935834344,-0.09353433383597765,-0.04077117535312794
wo2,0.38090838487671635,0.43563151634450414,-0.1672630634560859,-0.045438052836829376,0.5594937339432421,1.0,0.23212301903705299,0.334078831526108,0.5250306178308801,0.24134848241982498,0.2892189108478414,0.341705997682975,-0.24910993964787645,-0.08687272100797302,-0.04735641018551121
ra1,0.17859481960297938,0.17333955990141078,-0.166988952116027,-0.1642944479988847,0.25539120826489214,0.23212301903705299,1.0,0.4212385744385098,0.17579627431303357,0.438230230870109,0.3525101098763514,0.34149958734805297,-0.24045570540570488,-0.16999647817678093,-0.195459599719946
ra2,0.30548890852705657,0.306571553516912,-0.20112017247815386,-0.03438288393210461,0.2468184210856083,0.334078831526108,0.4212385744385098,1.0,0.46649262773664013,0.3841397934626923,0.3848391409639741,0.33010038447488044,-0.2754550607308567,-0.21059403259314566,-0.12616716825877736
whc1,0.30091413025758645,0.3690423255951415,-0.05673974398263595,0.18172309408589776,0.35075284495335796,0.5250306178308801,0.17579627431303357,0.46649262773664013,1.0,0.29131470048058394,0.38313143264202193,0.32562498202429885,-0.121041176165082,-0.12173438954886937,0.005969546760187532
gg1,0.24441235917717852,0.2687319373538361,-0.3577407096533692,-0.16315717281587316,0.23578226671871713,0.24134848241982498,0.438230230870109,0.3841397934626923,0.29131470048058394,1.0,0.5135120360229715,0.5129699362118445,-0.3040371247496066,-0.3070857279103716,-0.27100250164607853
gg2,0.22278750517768756,0.22206297623488605,-0.24013438791969835,-0.08230011039130543,0.27724102412793233,0.2892189108478414,0.3525101098763514,0.3848391409639741,0.38313143264202193,0.5135120360229715,1.0,0.4672918011096037,-0.25063721143276996,-0.2632170320426603,-0.1145279619023461
gg3,0.2487832746644328,0.31719904035082874,-0.17098771797268633,-0.04975008811793518,0.31101540249726206,0.341705997682975,0.34149958734805297,0.33010038447488044,0.32562498202429885,0.5129699362118445,0.4672918011096037,1.0,-0.23399691014194848,-0.21337475438088188,-0.22613886661414656
w1,-0.06482430269083714,-0.15490843624193235,0.24755038261136417,0.1984766174961478,-0.27152111935834344,-0.24910993964787645,-0.24045570540570488,-0.2754550607308567,-0.121041176165082,-0.3040371247496066,-0.25063721143276996,-0.23399691014194848,1.0,0.4681863749855351,0.3439014265466339
w2,-0.03209229419020533,-0.028031774942893956,0.2843970254441398,0.2555959025496189,-0.09353433383597765,-0.08687272100797302,-0.16999647817678093,-0.21059403259314566,-0.12173438954886937,-0.3070857279103716,-0.2632170320426603,-0.21337475438088188,0.4681863749855351,1.0,0.43689346509902255
lta1,0.05597358438271043,-0.02807221769150961,0.31285438731450443,0.2649261247120992,-0.04077117535312794,-0.04735641018551121,-0.195459599719946,-0.12616716825877736,0.005969546760187532,-0.27100250164607853,-0.1145279619023461,-0.22613886661414656,0.3439014265466339,0.43689346509902255,1.0
