Name of your department or Course,cgpa,non_stem_count,year,Adjusting my learning style for non-STEM courses is more challenging than for STEM courses. (Switching Cost),Switching focus from STEM to non-STEM subjects is mentally exhausting. (Switching Cost),"Non-STEM courses improve my soft skills, such as communication and critical thinking. (Switching Benefit)",Studying non-STEM subjects broadens my overall perspective on learning.,Non-STEM courses significantly increase my academic workload. (Work Overload),Managing both STEM and non-STEM courses is challenging. (Work Overload),I am unsure how non-STEM courses contribute to my academic goals. (Role Ambiguity),I struggle to see the practical application of non-STEM subjects compared to STEM subjects. (Role Ambiguity),Balancing non-STEM and STEM coursework leaves me with less time for personal activities. (Work–Home Conflict),I feel that non-STEM courses are a waste of my time compared to STEM courses. (General Grumbling),"Courses in the humanities (e.g., literature, philosophy) are unnecessary for STEM students.","Social science courses (e.g., sociology, psychology) seem less relevant to my field than STEM subjects.""",I believe non-STEM courses are valuable despite their challenges. (Willingness),I am open to integrating lessons from non-STEM courses into my academic work.  (Willingness),I will likely apply the knowledge I gain from non-STEM courses in my personal or professional life. (Long-Term Adoption),Which non-STEM courses have been most beneficial to you and why?,What challenges have you faced balancing STEM and non-STEM coursework?,Your perspective on STEM versus non-STEM courses. ,gender,cgpa_numeric,year_numeric,non_stem_count_numeric,gender_encoded
CSE (STEM),3.50-3.75,4,4,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,"Accounting, it was very helpful for calculating any business evaluation",I was not good in STEAM course due to non-STEAM courses,non-STEAM course have no value for my sector specially in CSE,No Response,3.625,4.0,4.0,Other
CSE (STEM),Less than 2.5,About 10,4th year,Strongly disagree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Bangladesh Studies,No challanges rather it refresh my mind,I think both are needed for a student.,No Response,2.25,4.0,10.0,Other
CSE (STEM),3.50-3.75,7,4th,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Agree,Finance & managerial accounting,Non STEM courses takes more time to study and memorise,Most of the non STEM courses were not necessary for my field. Some were impactful but some were unnecessary,No Response,3.625,4.0,7.0,Other
CSE (STEM),3.25-3.50,7,4th year,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,English because it helped me to practice more about speaking listening writing and reading,I think STEM course can be understandable by thinking but non-Stem courses need to memories so that is difficult for me,I think STEM course are more effective than non-STEM courses,No Response,3.375,4.0,7.0,Other
CSE (STEM),2.5-3.00,7,4th,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Bangladesh History And it's Dynasty's.,Remembering the date's.,non-STEM is important for STEM students to learn about other surrounding things.,No Response,2.75,4.0,7.0,Other
CSE (STEM),3.25-3.50,7,4,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Economics: to better understand how the economy actually works in my field,I faced imbalance of time during the study if mixture of subjects STEM and non-STEM subjects. As a result both courses didnot go well,Sten are needed the most where non-stem should have a minimum space to better understand the sideways,No Response,3.375,4.0,7.0,Other
CSE (STEM),2.5-3.00,5,4th,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,"Accounting, Economics and English for their real-life applications.",Sometimes felt exhausted and boring when the lesson is already perceived before enrolling the courses.,"STEM courses are a must, non-STEM courses can be highly beneficial if they are effectively and efficiently integrated into the learning process of STEM courses.",No Response,2.75,4.0,5.0,Other
CSE (STEM),3.25-3.50,4,4,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,"English 1&2
 Improved my conference in speaking and writing",I have learn from the basic then answer  critical question in exam.,"Beside English  others courses are useless.
if i need to know about about economics & Bangladesh studies, only my course  outline wouldn't be enough.",No Response,3.375,4.0,4.0,Other
CSE (STEM),3.75-4.00,7,4th,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,"Financial and Managerial Accounting because I was interested in learning about accounting and finance. The coach was very friendly, and the topics of the course helped me gain knowledge about the businesses of organizations and companies.","STEM courses feel connected, but non-STEM ones do not.","Non-STEM subjects should be removed from the curriculum. Learning should come from personal willingness, not force.",No Response,3.875,4.0,7.0,Other
CSE (STEM),3.50-3.75,7,4th,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Neutral,Agree,Agree,Agree,"Financial and Managerial Accounting.
Bcz i help me to learn about the management of corporate area and how i can start my startup.",Concentration switching.,Some non-STEM course is necessary but some are useless.,No Response,3.625,4.0,7.0,Other
CSE (STEM),3.25-3.50,7,4,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Accounting and Economics for Financial and Economical management of personal life and work and money management.,Focusing on Non STEM courses which distracted me from focus on STEM courses which are more likely important for a STEM student.,STEM courses are essential for Engineering background student while Non STEM courses are optional for Technical student but definitely they can gain some knowledge from Non STEM course besides STEM courses which may improve one's personal growth.,No Response,3.375,4.0,7.0,Other
CSE (STEM),3.25-3.50,7,4th,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,"Accounting ,Economics",Learning,Both are necessary,No Response,3.375,4.0,7.0,Other
