,Factor1,Factor2,Factor3,Factor4,Communalities
sc1,0.5577248053047448,0.24069432619049105,0.2222986583852608,-0.21079544830002586,0.4628421316564057
sc2,0.589492788576651,0.256065499633024,0.12457723797457332,-0.10499055101266246,0.4396137919095023
sb1,-0.09012153017652215,-0.21438547216333914,0.21642487327499285,0.6294853386127401,0.4971745381765485
sb2,0.046744546340133704,-0.00433890911916251,0.23880968789521761,0.6822963386193807,0.524762239470913
wo1,0.5564923719627446,0.165566991262134,-0.20412598673335874,0.07000474402495623,0.38366427129418423
wo2,0.7874363143597102,0.13136370484515367,-0.17147414547567363,-0.006132603070040061,0.6667533635100761
ra1,0.16349474155812724,0.47760061830341966,-0.17096543243568302,-0.11163118736363947,0.2965235822011037
ra2,0.3484384244999683,0.48971601045840274,-0.1413022972244425,-0.021958231235300062,0.38167960968720216
whc1,0.5399560339597903,0.36845600675478146,-0.05468509446557888,0.21353904294819728,0.47590172994320706
gg1,0.13721668979299254,0.7226541519981956,-0.18920224330903676,-0.20648648113621187,0.6194915991231645
gg2,0.2225055436373595,0.6144937425609156,-0.16258902025514135,-0.0377822356304587,0.45497396343264
gg3,0.27815296281290613,0.5625852228629403,-0.16536356371702488,-0.029308106134318522,0.4220752769957172
w1,-0.19304023956626745,-0.18698300139626778,0.5952111975311609,0.12818499197585143,0.4429349387372864
w2,-0.0013374725654499424,-0.23315705863950528,0.5905134778967541,0.19071913031563023,0.4394439570723597
lta1,0.07086120866365461,-0.1813614079340018,0.5007212759600518,0.25768298679200763,0.3550355890621897
